Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	DT 10			General Nursing Council for England and Wales: Registration: The Register of Nurses	This series contains the Register of nurses and supplementary registers maintained by the General Nursing Council. ¶ The series contains a list of nurses (SRNs) from 1921 to 1973. Although the register was opened in 1921 it includes details of nurses who qualified previous to this. ¶ Printed nominal indexes are in DT 10/1-56. ¶ DT 10/201 contains the list of nurses which was opened under the 1943 Nurses Act to allow those who had failed to register under the provisions of 1919 to do so.	1921-1973	201 volume(s)					Normal Closure before FOI Act: 	30		C6416
>>>>   				Printed Index			 								C34108
>>>>>> 	DT 10/1	1922			Registrations entered on general and supplementary parts of Register	1921 Sept 1-1922 July 31	 				Open Document, Open Description	Open Immediately			C1272970
>>>>>> 	DT 10/2	1923			Registrations entered on general and supplementary parts of Register	1921 Sept 1-1922 Dec 31	 				Open Document, Open Description	Open Immediately			C1272971
>>>>>> 	DT 10/3	1924			Registrations entered on general and supplementary parts of Register	1921 Sept 1-1923 Dec 31	 				Open Document, Open Description	Open Immediately			C1272972
>>>>>> 	DT 10/4	1925			Registrations entered on general and supplementary parts of Register	1921 Sept 1-1924 Dec 31	 				Open Document, Open Description	Open Immediately			C1272973
>>>>>> 	DT 10/5	1926			Registrations entered on general and supplementary parts of Register: includes late registrations	1921 Sept 1-1925 Dec 31	 				Open Document, Open Description	Open Immediately			C1272974
>>>>>> 	DT 10/6	1927			Registrations entered on general and supplementary parts of Register	1921 Sept 1-1926 Dec 31	 				Open Document, Open Description	Open Immediately			C1272975
>>>>>> 	DT 10/7	1928			Registrations entered on general and supplementary parts of Register	1921 Sept 1-1927 Dec 31	 				Open Document, Open Description	Open Immediately			C1272976
>>>>>> 	DT 10/8	1929			Registrations entered on general and supplementary parts of Register: includes late registrations	1921 Sept 1-1928 Dec 31	 				Open Document, Open Description	Open Immediately			C1272977
>>>>>> 	DT 10/9	1930			Registration entered on general and supplementary parts of Register	1921 Sept 1-1929 Dec 31	 				Open Document, Open Description	Open Immediately			C1272978
>>>>>> 	DT 10/10	1931 Volume 1			General part of Register	1921 Sept 1-1930 Dec 31	 				Open Document, Open Description	Open Immediately			C1272979
>>>>>> 	DT 10/11	1931 Volume 2			Supplementary part of Register	1921 Sept 1-1930 Dec 31	 				Open Document, Open Description	Open Immediately			C1272980
>>>>>> 	DT 10/12	1932 Volume 1			General part of Register	1921 Sept 1-1931 Dec 31	 				Open Document, Open Description	Open Immediately			C1272981
>>>>>> 	DT 10/13	1932 Volume 2			Supplementary part of Register	1921 Sept 1931 Dec 31	 				Open Document, Open Description	Open Immediately			C1272982
>>>>>> 	DT 10/14	1933 Volume 1			General part of Register	1921 Sept 1-1932 Dec 31	 				Open Document, Open Description	Open Immediately			C1272983
>>>>>> 	DT 10/15	1933 Volume 2			Supplementary part of Register	1921 Sept 1-1932 Dec 31	 				Open Document, Open Description	Open Immediately			C1272984
>>>>>> 	DT 10/16	1934 Volume			General part of Register	1921 Sept 1-1933 Dec 31	 				Open Document, Open Description	Open Immediately			C1272985
>>>>>> 	DT 10/17	1934 Volume			Supplementary part of Register	1921 Sept 1-1933 Dec 31	 				Open Document, Open Description	Open Immediately			C1272986
>>>>>> 	DT 10/18	1935 Volume			General part of Register	1921 Sept 1-1934 Dec 31	 				Open Document, Open Description	Open Immediately			C1272987
