Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	ADM 171			Admiralty, and Ministry of Defence, Navy Department: Medal Rolls	Rolls and lists of officers and men of the Royal Navy and Royal Marines who were awarded or claimed medals and clasps issued to commemorate actions and campaigns. ¶ The series contains awards of the British War Medal, Victory Medal and 1914-1915 Star to men of the Mercantile Marine Reserve and to officers and men of the Royal Naval Reserve. ¶ The rolls recording the award of the Arctic Medal, 1875-1876; the Sea Transport Medal, 1899-1902; and the Delhi Durbar Medal, 1911, are included in this series. ¶ Please Note: Records within this series are available to download free of charge as part of the Digital Microfilm project.	1793-1995	203 files and volumes					Normal Closure before FOI Act: 	30		C1880
>>>>   				NAVAL GENERAL SERVICE MEDAL 1793-1840			 	(The issue of the medal and clasps was originally restricted under Admiralty order of June 1st 1847 to participants in those actions for which gold medals had previously been conferred on Flag Officers and Captains. The order of June 7th 1848 extended the award to (1) all 'gold medal' actions or operations (2) all actions in which the First Lieutenants or commanders were promoted (3) all boat actions in which the officer commanding was promoted (4) co-operation with land forces in sieges and landings for which the Army had awarded gold medals).							C31903
>>>>>> 	ADM 171/1				ADM 171. Defeat of the French fleet by Earl Howe (The Glorious First of June), Action with the Spanish fleet off Cape St. Vincent, Battle of Camperdown, Battle of the Nile, Boarding and capture of the HERMIONE, Battle of Trafalgar, Sir Richard Strachan's action off Ferrol, Battle of St. Domingo, Capture of the island of Curacao, Capture of the Turkish frigate BADERE ZAFFER, Capture of the French frigate THETIS, Capture of the island of Martinique, Capture of the French frigate FURIEUSE, Capture of the island of Guadeloupe, Capture of the island of Banda Neira, Sir William Hoste's action off Lissa, Capture of the island of Java, Capture of the French 74 gun ship RIVOLI, Capture of the American frigate CHESAPEAKE, Capture of St. Sebastian, Capture of the French frigate L'ETOILE, Capture of the American frigate PRESIDENT, Battle of Algiers, Battle of Navarino, Bombardment and capture of Acre, Syrian Campaign Nominal Roll	1794 June 1 -  1842	 	LARGE DOCUMENT			Open Document, Open Description	Normal Closure before FOI Act: 	30		C974971
>>>>>>>	ADM 171/1/1				Defeat of the French fleet by Earl Howe (The Glorious First of June)	1794 June 1	 	Gold medal actions			Open Document, Open Description	Normal Closure before FOI Act: 	30		C6208100
>>>>>>>	ADM 171/1/2				Action with the Spanish fleet off Cape St Vincent	1797 Feb 14	 	Gold medal actions			Open Document, Open Description	Normal Closure before FOI Act: 	30		C6208101
>>>>>>>	ADM 171/1/3				Battle of Camperdown	1797 Oct 11	 	Gold medal actions			Open Document, Open Description	Normal Closure before FOI Act: 	30		C6208102
>>>>>>>	ADM 171/1/4				Battle of the Nile	1798 Aug 1	 	Gold medal actions			Open Document, Open Description	Normal Closure before FOI Act: 	30		C6208103
>>>>>>>	ADM 171/1/5				Boarding and capture of the HERMIONE	1799 Oct 25	 	Gold medal actions			Open Document, Open Description	Normal Closure before FOI Act: 	30		C6208104
>>>>>>>	ADM 171/1/6				Battle of Trafalgar	1805 Oct 21	 	Gold medal actions			Open Document, Open Description	Normal Closure before FOI Act: 	30		C6208105
