Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	WO 162			Commander-in-Chief and War Office: Adjutant General's Department: Papers	Unregistered papers of the Adjutant General relating to organisation, mobilisation and recruitment; women's services; medical arrangements for and casualty statistics and papers of various military actions; prisoners of war; coronation arrangements; medals; Wellington College; the Committee on Drafts for India and the Colonies; and the death of the Prince Imperial in the 1879 Zulu War.	1715-1971	383 files and volumes					Normal Closure before FOI Act: 	30		C14369
>>>>   				GENERAL			 								C51783
>>>>>> 	WO 162/1				Minutes on decisions	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357167
>>>>>> 	WO 162/2				Supply of Officers	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357168
>>>>>> 	WO 162/3				New Armies: Organisation	1914-1915	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357169
>>>>>> 	WO 162/4				New Armies: Establishments and strength	1914-1915	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357170
>>>>>> 	WO 162/5				Record of work of the Department	1914-1918	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357171
>>>>>> 	WO 162/6				Directorate of organisation	1914-1918	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357172
>>>>>> 	WO 162/7				Embarkation overseas: List of units with dates	1914 Aug.4-1918 Nov.11	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357173
>>>>>> 	WO 162/8				Combustible or explosive compound: Invention of Lord Dundonald	1914 Sept.	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357174
>>>>>> 	WO 162/9				National Service Department: General correspondence	1917 Feb.26-Aug 2	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357175
>>>>>> 	WO 162/10				British Red Cross Society: Letters to Colonel Leigh Wood	1917 Apr.16-Sept.21	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357176
>>>>>> 	WO 162/11				Provision of personnel for Heavy Branch Machine-Gun Corps	1917 May 1	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357177
>>>>>> 	WO 162/12				Selection and Medical Boards: Statement showing results	1917 June 27	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357178
>>>>>> 	WO 162/13				Nottingham Hostel and Hospital: Report	1918 Jan.-Feb.	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357179
>>>>>> 	WO 162/14				Directorate of Organisation	1919	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357180
>>>>>> 	WO 162/15				Directorate of Organisation	1920	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357181
>>>>>> 	WO 162/16				Nominal roll of personnel surplus overseas	1919 Aug.28-Oct.31	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357182
>>>>   				MOBILISATION AND RECRUITING			 								C51784
>>>>>> 	WO 162/17				General mobilisation: Progress reports	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357183
>>>>>> 	WO 162/18				Mobilisation: Miscellaneous correspondence	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357184
>>>>>> 	WO 162/19				Mobilisation of 7th Division, India: Minutes and telegrams	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357185
>>>>>> 	WO 162/20				Recruiting for K.2	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357186
>>>>>> 	WO 162/21				Diary of Mobilisation	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357187
>>>>>> 	WO 162/22				Siege Train: Training of personnel. Recruiting: Miscellaneous correspondence	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357188
>>>>>> 	WO 162/23				General Mobilisation: Review of arrangements	1914	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357189
>>>>>> 	WO 162/24				New Armies: Recruiting Officers and Other Ranks, statistical returns	1914-1915	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357190
>>>>>> 	WO 162/25				Mobilisation Branch: Telegrams	1914 Aug 7-1915 May 4	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357191
>>>>>> 	WO 162/26				Recruiting: Letters	1914 Sept	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357192
>>>>>> 	WO 162/27				Memorandum on compulsory military service (1915); Military Service Act (1916)	1915-1916	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357193
>>>>>> 	WO 162/28				Recruiting and Manpower (including Derby Scheme): Memorandums.	1915-1917	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357194
>>>>>> 	WO 162/29				Recruiting of telephonists and rates of pay of Signals telephonists	1918 Jan-1919 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357195
>>>>   				WOMEN'S SERVICES			 								C51785
>>>>>  				General			 								C110373
>>>>>> 	WO 162/30				Women's Services Committee: Report by Sir George Newman, MD.	1916 Dec 14	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357196
>>>>>> 	WO 162/31				Conference on organisation of women employed by the Army	1917 Jan 5	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C2357197
