Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	DT 11			General Nursing Council for England and Wales: Registration: The Roll of Nurses	This series contains the Roll of Assistant, later Enrolled Nurses (having only two years' training) compiled by the General Nursing Council for England and Wales under the provisions of the 1973 Nurses Act. ¶ The Roll of Nurses (SENs) was opened in 1944 and is held in this series. ¶ Both male and female assistant nurses are included on the same Roll, but assistant nurses who worked in mental hospitals were not deemed to be eligible for inclusion. ¶ Printed nominal indexes are in DT 11/1-9.	1944-1973	51 volume(s)					Normal Closure before FOI Act: 	30		C6417
>>>>   				Printed Index			 								C22637
>>>>>> 	DT 11/1	1947-1948			Nurses enrolled with list of names removed from Roll 1945-1947	1944 June 23-1947 Apr 30	 				Open Document, Open Description	Open Immediately			C291522
>>>>>> 	DT 11/2	1948-1949			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1947 May 1-1948 Apr 30	 				Open Document, Open Description	Open Immediately			C291523
>>>>>> 	DT 11/3	1949-1950			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1948 May 1-1949 Aug 31	 				Open Document, Open Description	Open Immediately			C291524
>>>>>> 	DT 11/4	1950-1951			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1949 Sept 1-1950 Apr 30	 				Open Document, Open Description	Open Immediately			C291525
>>>>>> 	DT 11/5	1950-1953			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1950 May 1-1953 Dec 31	 				Open Document, Open Description	Open Immediately			C291526
>>>>>> 	DT 11/6	1954-1957			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1954 Jan 1-1957 Dec 31	 				Open Document, Open Description	Open Immediately			C291527
>>>>>> 	DT 11/7	1958-1961			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1958 Jan 1-1961 Dec 31	 				Open Document, Open Description	Open Immediately			C291528
>>>>>> 	DT 11/8	1962-1965			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1962 Jan 1-1965 Dec 31	 				Open Document, Open Description	Open Immediately			C291529
>>>>>> 	DT 11/9	1966-1968			Supplement of Assistant Nurses enrolled, and names deleted from the Roll	1966 Jan 1-1968 Aug 31	 				Open Document, Open Description	Open Immediately			C291530
>>>>   				The Roll of Assistant Nurses			 								C22638
>>>>>> 	DT 11/10	1			Enrolment: nos 1 - 4011	1944 June 23-1945 Mar 23	 				Open Document, Open Description	Open Immediately			C291531
>>>>>> 	DT 11/11	2			Enrolment: nos 4012 - 8022	1945 Mar 23-1945 July 27	 				Open Document, Open Description	Open Immediately			C291532
>>>>>> 	DT 11/12	3			Enrolment: nos 8023 - 12033	1945 July 27-1945 Nov 23	 				Open Document, Open Description	Open Immediately			C291533
>>>>>> 	DT 11/13	4			Enrolment: nos 12034 - 16045	1945 Nov 23-1946 Mar 22	 				Open Document, Open Description	Open Immediately			C291534
>>>>>> 	DT 11/14	5			Enrolment: nos 16046-20055	1946 Mar 22-1946 Sept 27	 				Open Document, Open Description	Open Immediately			C291535
>>>>>> 	DT 11/15	6			Enrolment: nos 20056 - 24065	1946 Sept 27-1946 Nov 29	 				Open Document, Open Description	Open Immediately			C291536
>>>>>> 	DT 11/16	7			Enrolment: nos 24066 - 28075	1946 Nov 29-1947 Feb 28	 				Open Document, Open Description	Open Immediately			C291537
>>>>>> 	DT 11/17	8			Enrolment: nos 28076-32085	1947 Feb 28-1947 May 23	 				Open Document, Open Description	Open Immediately			C291538
>>>>>> 	DT 11/18	9			Enrolment: nos 32086 - 36096	1947 May 23-1947 Nov 28	 				Open Document, Open Description	Open Immediately			C291539
>>>>>> 	DT 11/19	10			Enrolment: nos 36097 - 40102	1947 Nov 28-1948 Aug 27	 				Open Document, Open Description	Open Immediately			C291540
>>>>>> 	DT 11/20	11			Enrolment: nos 40103 - 44112	1948 Aug 27-1949 Apr 22	 				Open Document, Open Description	Open Immediately			C291541
>>>>>> 	DT 11/21	12			Enrolment: nos 44113 - 48122	1949 Apr 22-1949 Dec 23	 				Open Document, Open Description	Open Immediately			C291542
>>>>>> 	DT 11/22	13			Enrolment: nos 48123 - 52132	1949 Dec 23-1951 Nov 20	 				Open Document, Open Description	Open Immediately			C291543
>>>>>> 	DT 11/23	14			Enrolment: nos 52133 - 56142	1951 Dec 11-1954 Apr 5	 				Open Document, Open Description	Open Immediately			C291544
>>>>>> 	DT 11/24	15			Enrolment: nos 56143 - 60145	1954 Apr 1-1956 June 9	 				Open Document, Open Description	Open Immediately			C291545
>>>>>> 	DT 11/25	16			Enrolment: nos 60146 - 64155	1956 June 15-1958 Aug 11	 				Open Document, Open Description	Open Immediately			C291546
>>>>>> 	DT 11/26	17			Enrolment: nos 64156 - 68165	1958 Aug 12-1960 May 23	 				Open Document, Open Description	Open Immediately			C291547
