Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	MH 50			Lunacy Commission and Board of Control: Minutes and Seals	This series contains minutes of the Lunacy Commission and Board of Control 1845 to 1960, together with a matrix and wax impression of the common seal of the Commissioners in Lunacy and a matrix and anvil of the common seal of the Board of Control.	1845-1960	84 volume(s)					Normal Closure before FOI Act: 	30		C10893
>>>>   				Commissioners in Lunacy			 								C76235
>>>>>> 	MH 50/1	Volume 1			Commissioners in Lunacy	1845 Aug. 14- 1846 Dec. 3	 	For Private Committee see Vol. 41. For index see Vol. 39.			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337054
>>>>>> 	MH 50/2	Volume 241.			Commissioners in Lunacy	1846 Dec. 8- 1848 Mar. 23	 	For index see Vol. 39.			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337055
>>>>>> 	MH 50/3	Volume 3			Commissioners in Lunacy	1848 Mar. 31- 1849 June 14	 	For index see Vol. 40.			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337056
>>>>>> 	MH 50/4	Volume 4			Commissioners in Lunacy	1849 June 21- 1851 Mar. 27	 	For index see Vol. 40.			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337057
>>>>>> 	MH 50/5	Volume 5			Commissioners in Lunacy	1851 Apr. 3- 1852 Aug. 25	 	For index see Vol. 40.			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337058
>>>>>> 	MH 50/6	Volume 6			Commissioners in Lunacy	1852 Sept. 15- 1854 Mar. 23	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337059
>>>>>> 	MH 50/7	Volume 7			Commissioners in Lunacy	1854 Mar. 30- 1855 Aug. 15	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337060
>>>>>> 	MH 50/8	Volume 8			Commissioners in Lunacy	1855 Sept. 26- 1857 Feb. 18	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C4337061
