Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	MH 51			Lunacy Commission and Board of Control: Correspondence and Papers	This series contains a selection of the papers and correspondence of the Board of Control: a body set up in 1913, but effectively dating back to the establishment of the Lunacy Commission in 1845. The records contain general correspondence registered or re-registered in a 60,000 series of files, a set of law officers' opinions from 1857 onwards and the County Register 1798-1812, a list of private asylums and patients admitted to them. ¶ Earlier records include reports on patients, submitted by medical superintendents under the Lunacy Act 1890, s.38; copies of removal orders for the removal of pauper lunatics from one asylum to another; visitors' special reports, etc, on institutions and patients' cases; papers relating to research grants; returns in respect of insane prisoners in gaols; and a complete record of proceedings of the Departmental Committee on Sterilization, 1932 to 1933, with subsidiary papers. Also included are circular letters of the Lunacy Commission and Board of Control 1845 to 1860; papers on the organisation and procedure of the Board; and papers of Lord Shaftesbury and Sir Laurence Brock as chairmen. There are also some records of the Home Office relating to its responsibilities in this area.	1798-1971	846 file(s)					Normal Closure before FOI Act: 	30		C10894
>>>>   				Batch Continuation Reports			 	Batch Continuation Reports submitted by medical superintendents under the Lunacy Act, 1890, section 38.							C37462
>>>>>> 	MH 51/1				Abergavenny Lunatic Asylum	1907 Apr. 12	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689875
>>>>>> 	MH 51/2				Burntwood County Lunatic Asylum, Staffordshire	1907 Apr. 3	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689876
>>>>>> 	MH 51/3				Chichester County Asylum, West Sussex	1907 Apr. 8	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689877
>>>>>> 	MH 51/4				Hellingly County Lunatic Asylum, East Sussex	1907 Apr. 11	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689878
>>>>>> 	MH 51/5				Napsbury County Lunatic Asylum, Middlesex	1907 Apr. 12	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689879
>>>>>> 	MH 51/6				Berkshire Lunatic Asylum	1912 Apr. 2	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689880
>>>>>> 	MH 51/7				Brecon and Radnor Asylum, Talgarth	1912 Apr. 3	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689881
>>>>>> 	MH 51/8				Brentwood County Lunatic Asylum, Essex	1912 Apr. 13	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689882
>>>>>> 	MH 51/9				Burntwood County Lunatic Asylum, Staffordshire	1912 Apr. 2	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689883
>>>>>> 	MH 51/10				Chichester County Asylum, West Sussex	1912 Apr. 5	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689884
>>>>>> 	MH 51/11				Colney Hatch [Middlesex] Lunatic Asylum	1912 Apr. 22	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689885
>>>>>> 	MH 51/12				Dorset County Asylum	1912 Apr. 5	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689886
>>>>>> 	MH 51/13				Hellingly County Lunatic Asylum, East Sussex	1912 Apr. 13	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689887
>>>>>> 	MH 51/14				London County Lunatic Asylum, Banstead	1912 Apr. 12	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689888
>>>>>> 	MH 51/15				Circular from the Lunacy Commission in relation to Batch Continuation Reports	1912 May.	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689889
>>>>>> 	MH 51/16				List of County, District, and County-Borough Asylums, indicating the number of beds and submission of the reports	1912	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689890
>>>>>> 	MH 51/17				Berkshire Lunatic Asylum	1917 Apr. 2	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689891
>>>>>> 	MH 51/18				Brecon and Radnor Lunatic Asylum, Talgarth	1917 Apr. 9	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689892
>>>>>> 	MH 51/19				Colney Hatch [Middlesex] Lunatic Asylum	1917 Apr. 16	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689893
>>>>>> 	MH 51/20				Dorset County Asylum	1917 Apr. 19	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689894
>>>>>> 	MH 51/21				Hampshire County Lunatic Asylum	1917 Apr. 6	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689895
>>>>>> 	MH 51/22				London County Lunatic Asylum, Banstead	1917 Apr. 13	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689896
>>>>>> 	MH 51/23				London County Asylum, Cane Hill	1917 Apr. 14	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689897
>>>>   				Copy Removal Orders of Visiting Committees			 	An order for the removal of pauper lunatics from one asylum to another.							C37463
>>>>>> 	MH 51/24				City of Birmingham, Rubery Hill Asylum	1915 Mar. 22	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689898
>>>>>> 	MH 51/25				Cardiff County-Borough Asylum	1915	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689899
>>>>>> 	MH 51/26				Norfolk County Asylum	1915	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689900
>>>>   				Hospitals; Licensed Houses: Lunatic Asylums; etc.; Patients' Cases; Visitors' Special Reports, etc.			 								C37464
>>>>>> 	MH 51/27				Reports on Gate Helmsley Retreat, [Yorkshire], a licensed house kept by James Martin, Nos. 41, 53, 53a	1846 Jan. 18-1847 Feb. 25	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689901
>>>>>> 	MH 51/28				Report on the case of Margaret Walsh, a pauper in the Workshouse of St. George the Martyr, Southwark, Surrey, No. 32	1846 Oct. 20	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689902
>>>>>> 	MH 51/29				Report on the case of an alleged lunatic Hester Read, reputed to be unlawfully confined by Jacob Shore of Farnborough, Somerset, No. 33	1846 Oct. 30	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689903
>>>>>> 	MH 51/30				Report on the case of George Worsford, a patient in the lunatic ward of St. Marylebone Workhouse. No. 34	1846 Nov. 11	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689904
>>>>>> 	MH 51/31				Report on a lunatic, Roger Penny, a patient in Cowper House, [London], No. 35	1846 Nov. 12	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689905
>>>>>> 	MH 51/32				Report on Fairwater House relating to treatment of patients, etc. No. 36	1846 Nov. 27	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689906
>>>>>> 	MH 51/33				Report on Fiddington House Asylum, [Wiltshire], relating to private male patients in respectable circumstances, being placed in close association with paupers. No. 37	1846 Nov. 28	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689907
>>>>>> 	MH 51/34				Special report on visit to Warwick Union Workhouse. No. 38	1846 Dec. 19	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689908
>>>>>> 	MH 51/35				Special medical report on the Cumberland paupers for the years 1845 to 1846. No. 40a	1846 Dec. 26	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689909
>>>>>> 	MH 51/36				Special report on Martha Elizabeth Rhodes, a patient in York House, Battersea, London, No. 43	1847 Feb. 3	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689910
>>>>>> 	MH 51/37				Special report on John Luke Clennell, confined as a lunatic at Newcastle Asylum. No. 45	1847 Feb. 18	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689911
>>>>>> 	MH 51/38				Report on James Hodder Forbes, lunatic patient in Haslar Hospital, later transferred to Winchester Gaol as a debtor. No. 46	1847 Feb. 23	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689912
>>>>>> 	MH 51/39				Special report relating to the licensed asylum at Dunnington, York. No. 51	1847 May 14	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689913
>>>>>> 	MH 51/40				Special report relating to John Luccock, head attendant at Northumberland House. No. 52	1947 May 19	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689914
>>>>>> 	MH 51/41				Notes of information and evidence received by the Commissioners relating to John Cottingham, deceased, formerly a patient of Lincoln Lunatic Hospital. No. 61	1947 Nov.	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689915
>>>>>> 	MH 51/42				Reports on the Royal Military Lunatic Asylum, Yarmouth. Nos. 72, 73, 74, 75, 76	1848 May 18-1852 June 24	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689916
>>>>>> 	MH 51/43				Applications for new licence for Green Hill House, Derby, by Dr. W. H. Ramsay. No. 2886	1849 Oct. 9-1850 Jan. 4	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1689917
