Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	MH 118			Board of Control and Ministry of Health: Special Hospitals, Registered Files	This series contains registered files of the Board of Control, and later the Ministry of Health, relating to the administration of the special hospitals at Broadmoor, Rampton and Moss Side. They include Board of Control Commissioners' annual and inspection reports, files on patient welfare, and the recruitment and conditions of service of staff. Also includes records of the Central Whitley Committee for the three hospitals.	1895-1967	175 file(s)					Normal Closure before FOI Act: 	30		C10961
>>>>   				Broadmoor			 								C38251
>>>>>  				Security			 								C101853
>>>>>> 	MH 118/20	113/1901/98 Pt 1			Escape investigations; reports and correspondence	1952-1960	 				Closed or Retained Document, Open Description	Closed for 	75	01/01/2036	C1716331
>>>>>> 	MH 118/21	113/1901/98 Pt 2			Escape investigations; reports and correspondence	1961-1962	 				Closed or Retained Document, Open Description	Closed for 	75	01/01/2038	C1716332
>>>>>> 	MH 118/22	113/1901/98/1 Pt 1			Parliamentary questions: correspondence	1952-1960	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1716333
>>>>>> 	MH 118/23	113/1901/98/2 Pt 1			Letters and petitions: replies and correspondence	1952-1958	 				Closed or Retained Document, Open Description	Closed for 	84	01/01/2043	C1716334
>>>>>> 	MH 118/24	113/1901/98/2 Pt 3			Letters and petitions: replies and correspondence	1958-1961	 				Closed or Retained Document, Open Description	Closed for 	84	01/01/2046	C1716335
>>>>>> 	MH 118/25	113/1901/98/3			Warning and liaison procedure: press, radio and television	1952-1960	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1716336
>>>>>> 	MH 118/26	113/1901/98/3A			Warning and liaison procedure: schools	1952-1962	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C1716337
>>>>>> 	MH 118/27	113/1901/98/6 Pt 3			Report on escape and recapture of a patient	1956	 				Closed or Retained Document, Open Description	Closed for 	75	01/01/2032	C1716338
>>>>>> 	MH 118/28	113/1901/98/6 Pt 4			Report on escape and recapture of a patient	1958	 				Closed or Retained Document, Open Description	Closed for 	75	01/01/2034	C1716339
>>>>>> 	MH 118/29	113/1901/98/6 Pt 5			Report on escape and recapture of a patient	1959	 				Closed or Retained Document, Open Description	Closed for 	75	01/01/2035	C1716340
>>>>>> 	MH 118/30	113/1901/98/6 Pt 6			Report on escape and recapture of a patient	1960	 				Closed or Retained Document, Open Description	Closed for 	75	01/01/2036	C1716341
